date,value
2017-11-21,4280
2017-11-22,6162
2017-11-23,6618
2017-11-24,17412
2017-11-25,2434
2017-11-26,3903
2017-11-27,4252
2017-11-28,7448
2017-11-29,15274
2017-11-30,8426
2017-12-01,12636
2017-12-02,14145
2017-12-03,14692
2017-12-04,1612
2017-12-05,5186
2017-12-06,10738
2017-12-07,11465
2017-12-08,10120
2017-12-09,12553
2017-12-10,10114
2017-12-11,1099
2017-12-12,3354
2017-12-13,14022
2017-12-14,2608
2017-12-15,8719
2017-12-16,12498
2017-12-17,14947
2017-12-18,17668
2017-12-19,12922
2017-12-20,15508
2017-12-21,17083
2017-12-22,12062
2017-12-23,17384
2017-12-24,6851
2017-12-25,15179
2017-12-26,11681
2017-12-27,3098
2017-12-28,15578
2017-12-29,5966
2017-12-30,3068
2017-12-31,7827
2018-01-01,13918
2018-01-02,6604
2018-01-03,13393
2018-01-04,8874
2018-01-05,2807
2018-01-06,15881
2018-01-07,2932
2018-01-08,4973
2018-01-09,1266
2018-01-10,12270
2018-01-11,6382
2018-01-12,9806
2018-01-13,13619
2018-01-14,19802
2018-01-15,8500
2018-01-16,5765
2018-01-17,9819
2018-01-18,5485
2018-01-19,3283
2018-01-20,12326
2018-01-21,15895
2018-01-22,17504
2018-01-23,15098
2018-01-24,15681
2018-01-25,17606
2018-01-26,4676
2018-01-27,11345
2018-01-28,12477
2018-01-29,12782
2018-01-30,13900
2018-01-31,10114
2018-02-01,8326
2018-02-02,8557
2018-02-03,15479
2018-02-04,14247
2018-02-05,12749
2018-02-06,12301
2018-02-07,16985
2018-02-08,13383
2018-02-09,15688
2018-02-10,3544
2018-02-11,15544
2018-02-12,7432
2018-02-13,1062
2018-02-14,17192
2018-02-15,7490
2018-02-16,3023
2018-02-17,9342
2018-02-18,19821
2018-02-19,3852
2018-02-20,17511
2018-02-21,2508
2018-02-22,10989
2018-02-23,16708
2018-02-24,19892
2018-02-25,13017
2018-02-26,13172
2018-02-27,3022
2018-02-28,1592
2018-03-01,18408
2018-03-02,5669
2018-03-03,19755
2018-03-04,12408
2018-03-05,11096
2018-03-06,10673
2018-03-07,8764
2018-03-08,1116
2018-03-09,8935
2018-03-10,1824
2018-03-11,9121
2018-03-12,4593
2018-03-13,13780
2018-03-14,3276
2018-03-15,2863
2018-03-16,17151
2018-03-17,9199
2018-03-18,7653
2018-03-19,9982
2018-03-20,2890
2018-03-21,2616
2018-03-22,16919
2018-03-23,1626
2018-03-24,15859
2018-03-25,13263
2018-03-26,3138
2018-03-27,8021
2018-03-28,17187
2018-03-29,13912
2018-03-30,5517
2018-03-31,9629
2018-04-01,12528
2018-04-02,8008
2018-04-03,19129
2018-04-04,9292
2018-04-05,2409
2018-04-06,1765
2018-04-07,5997
2018-04-08,13792
2018-04-09,7056
2018-04-10,3710
2018-04-11,15591
2018-04-12,10988
2018-04-13,8018
2018-04-14,1123
2018-04-15,16811
2018-04-16,7460
2018-04-17,19013
2018-04-18,6672
2018-04-19,10425
2018-04-20,2320
2018-04-21,15395
2018-04-22,3538
2018-04-23,10694
2018-04-24,19973
2018-04-25,15561
2018-04-26,8774
2018-04-27,12941
2018-04-28,11456
2018-04-29,8011
2018-04-30,8837
2018-05-01,17151
2018-05-02,2408
2018-05-03,2111
2018-05-04,4877
2018-05-05,14657
2018-05-06,16494
2018-05-07,15552
2018-05-08,18911
2018-05-09,18705
2018-05-10,4952
2018-05-11,4115
2018-05-12,18518
2018-05-13,3963
2018-05-14,15102
2018-05-15,9075
2018-05-16,16265
2018-05-17,5378
2018-05-18,12463
2018-05-19,13527
2018-05-20,5452
2018-05-21,7743
2018-05-22,10621
2018-05-23,6630
2018-05-24,19946
2018-05-25,12528
2018-05-26,4366
2018-05-27,8078
2018-05-28,9804
2018-05-29,1571
2018-05-30,18285
2018-05-31,19693
2018-06-01,7182
2018-06-02,12939
2018-06-03,17305
2018-06-04,6839
2018-06-05,10481
2018-06-06,13279
2018-06-07,8300
2018-06-08,10822
2018-06-09,2291
2018-06-10,3532
2018-06-11,3129
2018-06-12,13230
2018-06-13,19095
2018-06-14,13180
2018-06-15,6802
2018-06-16,9058
2018-06-17,19873
2018-06-18,18553
2018-06-19,7613
2018-06-20,17567
2018-06-21,16972
2018-06-22,5207
2018-06-23,13258
2018-06-24,7241
2018-06-25,19670
2018-06-26,17240
2018-06-27,8137
2018-06-28,14849
2018-06-29,6217
2018-06-30,6471
2018-07-01,19733
2018-07-02,15937
2018-07-03,13120
2018-07-04,3598
2018-07-05,5147
2018-07-06,10232
2018-07-07,2882
2018-07-08,13718
2018-07-09,8802
2018-07-10,1645
2018-07-11,5039
2018-07-12,10635
2018-07-13,17246
2018-07-14,11931
2018-07-15,12622
2018-07-16,1761
2018-07-17,10139
2018-07-18,5791
2018-07-19,1625
2018-07-20,9587
2018-07-21,6837
2018-07-22,13154
2018-07-23,4383
2018-07-24,3555
2018-07-25,16612
2018-07-26,15707
2018-07-27,6305
2018-07-28,7758
2018-07-29,14195
2018-07-30,17078
2018-07-31,8762
2018-08-01,4308
2018-08-02,1165
2018-08-03,2415
2018-08-04,19205
2018-08-05,10294
2018-08-06,12209
2018-08-07,17907
2018-08-08,8228
2018-08-09,15015
2018-08-10,1699
2018-08-11,15226
2018-08-12,12957
2018-08-13,14596
2018-08-14,17832
2018-08-15,12992
2018-08-16,16240
2018-08-17,4467
2018-08-18,11716
2018-08-19,15259
2018-08-20,4087
2018-08-21,1131
2018-08-22,17597
2018-08-23,4356
2018-08-24,12989
2018-08-25,2614
2018-08-26,3927
2018-08-27,5940
2018-08-28,2291
2018-08-29,18767
2018-08-30,5845
2018-08-31,18040
2018-09-01,12521
2018-09-02,11768
2018-09-03,3593
2018-09-04,2510
2018-09-05,10000
2018-09-06,2130
2018-09-07,1595
2018-09-08,5850
2018-09-09,18824
2018-09-10,17708
2018-09-11,6535
2018-09-12,9854
2018-09-13,8909
2018-09-14,1079
2018-09-15,12059
2018-09-16,12660
2018-09-17,6130
2018-09-18,10833
2018-09-19,10040
2018-09-20,12998
2018-09-21,2731
2018-09-22,18744
2018-09-23,10345
2018-09-24,16200
2018-09-25,17747
2018-09-26,5562
2018-09-27,19770
2018-09-28,9889
2018-09-29,8951
2018-09-30,10103
2018-10-01,12804
2018-10-02,4399
2018-10-03,14595
2018-10-04,15552
2018-10-05,5409
2018-10-06,11456
2018-10-07,19701
2018-10-08,7034
2018-10-09,17462
2018-10-10,9142
2018-10-11,6703
2018-10-12,8951
2018-10-13,11237
2018-10-14,19007
2018-10-15,7091
2018-10-16,2613
2018-10-17,9702
2018-10-18,8581
2018-10-19,17082
2018-10-20,8812
2018-10-21,6041
2018-10-22,19775
2018-10-23,16929
2018-10-24,8888
2018-10-25,8209
2018-10-26,10690
2018-10-27,19160
2018-10-28,10410
2018-10-29,8087
2018-10-30,19705
2018-10-31,2344
2018-11-01,17620
2018-11-02,19511
2018-11-03,7218
2018-11-04,18570
2018-11-05,7822
2018-11-06,9565
2018-11-07,12424
2018-11-08,19858
2018-11-09,16660
2018-11-10,1611
2018-11-11,16207
2018-11-12,4995
2018-11-13,15075
2018-11-14,3352
2018-11-15,19058
2018-11-16,14636
2018-11-17,10489
2018-11-18,11525
2018-11-19,13902
2018-11-20,2659
2018-11-21,8326
2018-11-22,8484
2018-11-23,7835
2018-11-24,7388
2018-11-25,11825
2018-11-26,12735
2018-11-27,15272
2018-11-28,14992
2018-11-29,17627
2018-11-30,3581
2018-12-01,15234
2018-12-02,4215
2018-12-03,3800
2018-12-04,15097
2018-12-05,19065
2018-12-06,15467
2018-12-07,18181
2018-12-08,5560
2018-12-09,3274
2018-12-10,12908
2018-12-11,15470
2018-12-12,12345
2018-12-13,19039
2018-12-14,3422
2018-12-15,19165
2018-12-16,7437
2018-12-17,15967
2018-12-18,18691
2018-12-19,14902
2018-12-20,17315
2018-12-21,6718
2018-12-22,2631
2018-12-23,19399
2018-12-24,9378
2018-12-25,4966
2018-12-26,6596
2018-12-27,13535
2018-12-28,2004
2018-12-29,14600
2018-12-30,4293
2018-12-31,2064
2019-01-01,14312
2019-01-02,15940
2019-01-03,14477
2019-01-04,5199
2019-01-05,9686
2019-01-06,8116
2019-01-07,17057
2019-01-08,10079
2019-01-09,13261
2019-01-10,5080
2019-01-11,14444
2019-01-12,3596
2019-01-13,11706
2019-01-14,17549
2019-01-15,9926
2019-01-16,17757
2019-01-17,14952
2019-01-18,10392
2019-01-19,16996
2019-01-20,19931
2019-01-21,15244
2019-01-22,14411
2019-01-23,17419
2019-01-24,17307
2019-01-25,17444
2019-01-26,14304
2019-01-27,8505
2019-01-28,13443
2019-01-29,16491
2019-01-30,18441
2019-01-31,4958
2019-02-01,2435
2019-02-02,4300
2019-02-03,9248
2019-02-04,7421
2019-02-05,8498
2019-02-06,19973
2019-02-07,1957
2019-02-08,10786
2019-02-09,6912
2019-02-10,12536
2019-02-11,7592
2019-02-12,15971
2019-02-13,1769
2019-02-14,5354
2019-02-15,2858
2019-02-16,11387
2019-02-17,11740
2019-02-18,6580
2019-02-19,4742
2019-02-20,2575
2019-02-21,6709
2019-02-22,3993
2019-02-23,2306
2019-02-24,13659
2019-02-25,18548
2019-02-26,4313
2019-02-27,18344
2019-02-28,11497
2019-03-01,17138
2019-03-02,10726
2019-03-03,8452
2019-03-04,16042
2019-03-05,3780
2019-03-06,18613
2019-03-07,7703
2019-03-08,15929
2019-03-09,10926
2019-03-10,2181
2019-03-11,4004
2019-03-12,13842
2019-03-13,3514
2019-03-14,12037
2019-03-15,15737
2019-03-16,19467
2019-03-17,4347
2019-03-18,8820
2019-03-19,5451
2019-03-20,8021
2019-03-21,15008
2019-03-22,7932
2019-03-23,16491
2019-03-24,13369
2019-03-25,3086
2019-03-26,13837
2019-03-27,1362
2019-03-28,5648
2019-03-29,19287
2019-03-30,13059
2019-03-31,14956
2019-04-01,2459
2019-04-02,11917
2019-04-03,7947
2019-04-04,1542
2019-04-05,19183
2019-04-06,8128
2019-04-07,14912
2019-04-08,1239
2019-04-09,15223
2019-04-10,8315
2019-04-11,3893
2019-04-12,7119
2019-04-13,7117
2019-04-14,17359
2019-04-15,11130
2019-04-16,8623
2019-04-17,17444
2019-04-18,13448
2019-04-19,4436
2019-04-20,14694
2019-04-21,1367
2019-04-22,5212
2019-04-23,15314
2019-04-24,14236
2019-04-25,13264
2019-04-26,8392
2019-04-27,3654
2019-04-28,19260
2019-04-29,15931
2019-04-30,6239
2019-05-01,18975
2019-05-02,14666
2019-05-03,12675
2019-05-04,7445
2019-05-05,14649
2019-05-06,4799
2019-05-07,1432
2019-05-08,12102
2019-05-09,18265
2019-05-10,14282
2019-05-11,19204
2019-05-12,16425
2019-05-13,19500
2019-05-14,6884
2019-05-15,1370
2019-05-16,8073
2019-05-17,14686
2019-05-18,8651
2019-05-19,9153
2019-05-20,14893
2019-05-21,15273
2019-05-22,19019
2019-05-23,17513
2019-05-24,5295
2019-05-25,12929
2019-05-26,10316
2019-05-27,8788
2019-05-28,4250
2019-05-29,2435
2019-05-30,5192
2019-05-31,18963
2019-06-01,4859
2019-06-02,18709
2019-06-03,9292
2019-06-04,16811
2019-06-05,15856
2019-06-06,7720
2019-06-07,1372
2019-06-08,4168
2019-06-09,18890
2019-06-10,13629
2019-06-11,7424
2019-06-12,10218
2019-06-13,4527
2019-06-14,3251
2019-06-15,1243
2019-06-16,17758
2019-06-17,14151
2019-06-18,5161
2019-06-19,3512
2019-06-20,12662
2019-06-21,16893
2019-06-22,7341
2019-06-23,9993
2019-06-24,16978
2019-06-25,13827
2019-06-26,16507
2019-06-27,4983
2019-06-28,5935
2019-06-29,19412
2019-06-30,7941
2019-07-01,18827
2019-07-02,15640
2019-07-03,1945
2019-07-04,1848
2019-07-05,17703
2019-07-06,8640
2019-07-07,14189
2019-07-08,3093
2019-07-09,6088
2019-07-10,10790
2019-07-11,18740
2019-07-12,18143
2019-07-13,4387
2019-07-14,18724
2019-07-15,6785
2019-07-16,6262
2019-07-17,1877
2019-07-18,8997
2019-07-19,1081
2019-07-20,3246
2019-07-21,13316
2019-07-22,17074
2019-07-23,13772
2019-07-24,13215
2019-07-25,5274
2019-07-26,4670
2019-07-27,7325
2019-07-28,12195
2019-07-29,6947
2019-07-30,10358
2019-07-31,14744
2019-08-01,2080
2019-08-02,2896
2019-08-03,11383
2019-08-04,9823
2019-08-05,4049
2019-08-06,11548
2019-08-07,7432
2019-08-08,12351
2019-08-09,15286
2019-08-10,3978
2019-08-11,9629
2019-08-12,6312
2019-08-13,4963
2019-08-14,19586
2019-08-15,3437
2019-08-16,8000
2019-08-17,3321
2019-08-18,11180
2019-08-19,3360
2019-08-20,11400
2019-08-21,14553
2019-08-22,1337
2019-08-23,17457
2019-08-24,18124
2019-08-25,4248
2019-08-26,1739
2019-08-27,14728
2019-08-28,6390
2019-08-29,9604
2019-08-30,5267
2019-08-31,14409
2019-09-01,17562
2019-09-02,19853
2019-09-03,11242
2019-09-04,9977
2019-09-05,18091
2019-09-06,10557
2019-09-07,15181
2019-09-08,16480
2019-09-09,15998
2019-09-10,6330
2019-09-11,10015
2019-09-12,11417
2019-09-13,16469
2019-09-14,11483
2019-09-15,15926
2019-09-16,5754
2019-09-17,12385
2019-09-18,11587
2019-09-19,6612
2019-09-20,19066
2019-09-21,9397
2019-09-22,19700
2019-09-23,12106
2019-09-24,7957
2019-09-25,4792
2019-09-26,11305
2019-09-27,19520
2019-09-28,15608
2019-09-29,7445
2019-09-30,7363
2019-10-01,1165
2019-10-02,17818
2019-10-03,15744
2019-10-04,2968
2019-10-05,2228
2019-10-06,10220
2019-10-07,2198
2019-10-08,12505
2019-10-09,15730
2019-10-10,8579
2019-10-11,4406
2019-10-12,5966
2019-10-13,6517
2019-10-14,8197
2019-10-15,10166
2019-10-16,18611
2019-10-17,13767
2019-10-18,19966
2019-10-19,8278
2019-10-20,2492
2019-10-21,4767
2019-10-22,16101
2019-10-23,18538
2019-10-24,19048
2019-10-25,1184
2019-10-26,8278
2019-10-27,12974
2019-10-28,6074
2019-10-29,11430
2019-10-30,8726
2019-10-31,14051
2019-11-01,6209
2019-11-02,19060
2019-11-03,7462
2019-11-04,17677
2019-11-05,15495
2019-11-06,5983
2019-11-07,9092
2019-11-08,10576
2019-11-09,13271
2019-11-10,4869
2019-11-11,4796
2019-11-12,6393
2019-11-13,12943
2019-11-14,2506
2019-11-15,16920
2019-11-16,15550
2019-11-17,8213
2019-11-18,2146
2019-11-19,3737
2019-11-20,16708
2019-11-21,18729
2019-11-22,2365
2019-11-23,14856
2019-11-24,19866
2019-11-25,19583
2019-11-26,17371
2019-11-27,3170
2019-11-28,19514
2019-11-29,6222
2019-11-30,17473
2019-12-01,4185
2019-12-02,9347
2019-12-03,2537
